Jahr;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1968;1.0;2.0;3.0;2.0;1.0;12.0;12.0;4.0;16.0;6.0;1.0;1.0
1969;1.0;0.0;0.0;2.0;4.0;8.0;15.0;10.0;10.0;5.0;6.0;3.0
1970;1.0;0.0;8.0;4.0;6.0;18.0;9.0;19.0;11.0;5.0;0.0;0.0
1971;1.0;1.0;0.0;1.0;11.0;11.0;8.0;13.0;6.0;;;
1972;;;0.0;5.0;3.0;10.0;9.0;8.0;9.0;5.0;3.0;1.0
1973;0.0;0.0;0.0;2.0;4.0;11.0;14.0;5.0;9.0;13.0;2.0;0.0
1974;0.0;0.0;0.0;2.0;4.0;10.0;6.0;14.0;14.0;16.0;2.0;0.0
1975;2.0;2.0;3.0;0.0;1.0;10.0;11.0;18.0;16.0;17.0;4.0;0.0
1976;0.0;0.0;0.0;3.0;3.0;6.0;20.0;15.0;7.0;3.0;8.0;0.0
1977;0.0;0.0;0.0;3.0;5.0;8.0;12.0;19.0;5.0;6.0;6.0;1.0
1978;2.0;4.0;;4.0;5.0;11.0;20.0;20.0;11.0;4.0;5.0;0.0
1979;0.0;3.0;0.0;1.0;4.0;7.0;9.0;9.0;9.0;2.0;7.0;0.0
1980;0.0;;0.0;2.0;3.0;12.0;15.0;14.0;11.0;1.0;1.0;1.0
1981;1.0;0.0;3.0;3.0;2.0;11.0;10.0;13.0;16.0;8.0;1.0;0.0
1982;0.0;0.0;0.0;5.0;7.0;12.0;12.0;12.0;15.0;4.0;5.0;0.0
1983;0.0;0.0;1.0;0.0;2.0;8.0;16.0;17.0;14.0;8.0;0.0;2.0
1984;0.0;1.0;2.0;2.0;1.0;9.0;15.0;6.0;6.0;5.0;1.0;0.0
1985;1.0;0.0;2.0;1.0;;13.0;11.0;10.0;7.0;7.0;0.0;2.0
1986;2.0;4.0;0.0;3.0;0.0;10.0;9.0;13.0;6.0;;3.0;1.0
1987;1.0;0.0;3.0;1.0;;9.0;9.0;17.0;3.0;7.0;6.0;2.0
1988;0.0;1.0;0.0;2.0;0.0;9.0;19.0;16.0;;1.0;;
1989;0.0;0.0;5.0;1.0;0.0;;12.0;;9.0;2.0;1.0;2.0
1990;1.0;0.0;1.0;1.0;9.0;12.0;11.0;12.0;10.0;11.0;4.0;
1991;1.0;0.0;0.0;2.0;2.0;9.0;10.0;14.0;7.0;3.0;6.0;0.0
1992;0.0;0.0;0.0;1.0;5.0;6.0;8.0;18.0;9.0;8.0;4.0;0.0
1993;0.0;0.0;0.0;4.0;4.0;6.0;14.0;14.0;9.0;9.0;0.0;2.0
1994;1.0;1.0;0.0;4.0;1.0;15.0;16.0;16.0;7.0;11.0;5.0;0.0
1995;4.0;0.0;3.0;2.0;6.0;6.0;16.0;13.0;9.0;13.0;1.0;0.0
1996;0.0;0.0;0.0;5.0;2.0;8.0;18.0;18.0;14.0;9.0;1.0;0.0
1997;1.0;0.0;3.0;4.0;2.0;6.0;12.0;9.0;8.0;4.0;4.0;2.0
1998;0.0;0.0;0.0;1.0;2.0;5.0;12.0;16.0;13.0;12.0;3.0;0.0
1999;0.0;1.0;0.0;1.0;7.0;9.0;17.0;13.0;8.0;5.0;0.0;0.0
2000;0.0;2.0;0.0;3.0;5.0;13.0;7.0;16.0;6.0;4.0;1.0;1.0
2001;1.0;0.0;5.0;1.0;0.0;8.0;6.0;15.0;10.0;9.0;1.0;0.0
2002;2.0;0.0;2.0;2.0;8.0;11.0;11.0;13.0;6.0;7.0;1.0;0.0
2003;0.0;2.0;3.0;2.0;0.0;9.0;17.0;17.0;8.0;12.0;0.0;0.0
2004;3.0;1.0;1.0;5.0;5.0;10.0;14.0;12.0;7.0;9.0;0.0;0.0
2005;4.0;1.0;2.0;3.0;2.0;11.0;15.0;10.0;13.0;10.0;0.0;0.0
2006;0.0;0.0;5.0;3.0;4.0;10.0;12.0;12.0;13.0;3.0;5.0;0.0
2007;0.0;0.0;0.0;5.0;3.0;14.0;7.0;16.0;19.0;5.0;1.0;0.0
2008;0.0;4.0;4.0;3.0;4.0;9.0;10.0;14.0;11.0;5.0;5.0;0.0
2009;0.0;0.0;1.0;2.0;3.0;7.0;8.0;10.0;9.0;4.0;3.0;1.0
2010;1.0;1.0;0.0;1.0;6.0;10.0;18.0;19.0;17.0;7.0;6.0;2.0
2011;0.0;3.0;1.0;2.0;1.0;10.0;16.0;17.0;10.0;4.0;2.0;0.0
2012;0.0;0.0;0.0;4.0;2.0;7.0;15.0;17.0;11.0;7.0;2.0;0.0
2013;0.0;3.0;0.0;4.0;2.0;15.0;14.0;12.0;11.0;11.0;3.0;0.0
2014;0.0;0.0;3.0;3.0;2.0;3.0;12.0;13.0;8.0;3.0;1.0;0.0

